screenName	Perfil
pablovillaca	E
MidiaNINJA	E
GuilhermeBoulos	E
jairmearrependi	E
gduvivier	E
zehdeabreu	E
Marcelodedois	E
LulaOficial	E
emicida	E
euclarice	E
marciatiburi	E
cirogomes	E
felipeneto	E
folha	E
Haddad_Fernando	E
QuebrandoOTabu	E
ramos_leandro	E
bolsoregrets	E
luizaerundina	E
jeanwyllys_real	E
ManuelaDavila	E
lelispatricia	E
Jujuca1987	E
aeciodepapelao	E
esuplicy	E
LaerteCoutinho1	E
cynaramenezes	E
taliriapetrone	E
elpais_brasil	E
BozoMeuOvo	E
mamaefalei	D
luciano_hang	D
OdeCarvalho	D
odiodobem	D
allantercalivre	D
SargentoFAHUR	D
alexandregarcia	D
jairbolsonaro	D
deltanmd	D
DaniloGentili	D
o_antagonista	D
PastorMalafaia	D
FlavioBolsonaro	D
CarlosBolsonaro	D
BlogDoPim	D
lobaleletrico	D
BolsonaroSP	D
MBLivre	D
AnaPaulaVolei	D
Astro_Pontes	D
DamaresAlves	D
lpbragancabr	D
moura_101	D
JanainaDoBrasil	D
mcbretas	D
jdoriajr	D
programapanico	D
VEJA	D
rafinhabastos	D
LucianoHuck	D
SF_Moro	D
